Date,VIX_Close,Ticker,Industry,Underlying_Price,OptionType,Expiration,DTE,Strike,Last,Bid,Ask,Volume,log_moneyness,YTE,Spread,ITM
2025-07-01,17.9,AAPL,Information Technology,220.98,Call,2025-07-31,30,210.0,13.74,12.02,15.46,6,0.05096466896756024,0.08213552361396304,3.4400000000000013,1
2025-07-01,17.9,AAPL,Information Technology,220.98,Put,2025-07-31,30,210.0,2.07,1.81,2.33,455,0.05096466896756024,0.08213552361396304,0.52,0
2025-07-01,17.9,AAPL,Information Technology,220.98,Call,2025-07-31,30,232.0,2.67,2.34,3.0,521,-0.048665171981281126,0.08213552361396304,0.6600000000000001,0
2025-07-01,17.9,AAPL,Information Technology,220.98,Put,2025-07-31,30,232.0,12.93,11.31,14.55,826,-0.048665171981281126,0.08213552361396304,3.24,1
2025-07-01,17.9,MSFT,Information Technology,435.86,Call,2025-07-31,30,414.0,29.49,25.81,33.18,405,0.051455117042350756,0.08213552361396304,7.370000000000001,1
2025-07-01,17.9,MSFT,Information Technology,435.86,Put,2025-07-31,30,414.0,6.27,5.49,7.06,65,0.051455117042350756,0.08213552361396304,1.5699999999999994,0
2025-07-01,17.9,MSFT,Information Technology,435.86,Call,2025-07-31,30,457.5,7.83,6.85,8.8,235,-0.04845579384791094,0.08213552361396304,1.950000000000001,0
2025-07-01,17.9,MSFT,Information Technology,435.86,Put,2025-07-31,30,457.5,27.96,24.47,31.46,374,-0.04845579384791094,0.08213552361396304,6.990000000000002,1
2025-07-01,17.9,NVDA,Information Technology,120.47,Call,2025-07-31,30,114.5,8.89,7.78,10.0,189,0.050825936284466904,0.08213552361396304,2.2199999999999998,1
2025-07-01,17.9,NVDA,Information Technology,120.47,Put,2025-07-31,30,114.5,2.55,2.23,2.87,489,0.050825936284466904,0.08213552361396304,0.6400000000000001,0
2025-07-01,17.9,NVDA,Information Technology,120.47,Call,2025-07-31,30,126.5,3.02,2.64,3.4,94,-0.048841548888813535,0.08213552361396304,0.7599999999999998,0
2025-07-01,17.9,NVDA,Information Technology,120.47,Put,2025-07-31,30,126.5,8.63,7.55,9.71,422,-0.048841548888813535,0.08213552361396304,2.160000000000001,1
2025-07-01,17.9,XOM,Energy,110.69,Call,2025-07-31,30,105.0,7.14,6.25,8.04,38,0.05277315124000917,0.08213552361396304,1.7899999999999991,1
2025-07-01,17.9,XOM,Energy,110.69,Put,2025-07-31,30,105.0,1.11,0.97,1.25,109,0.05277315124000917,0.08213552361396304,0.28,0
2025-07-01,17.9,XOM,Energy,110.69,Call,2025-07-31,30,116.0,1.53,1.34,1.72,131,-0.04685668970883208,0.08213552361396304,0.3799999999999999,0
2025-07-01,17.9,XOM,Energy,110.69,Put,2025-07-31,30,116.0,6.46,5.65,7.26,186,-0.04685668970883208,0.08213552361396304,1.6099999999999994,1
2025-07-01,17.9,CVX,Energy,153.72,Call,2025-07-31,30,146.0,9.31,8.14,10.47,172,0.051526143988306634,0.08213552361396304,2.33,1
2025-07-01,17.9,CVX,Energy,153.72,Put,2025-07-31,30,146.0,1.11,0.97,1.25,127,0.051526143988306634,0.08213552361396304,0.28,0
2025-07-01,17.9,CVX,Energy,153.72,Call,2025-07-31,30,161.5,1.47,1.28,1.65,106,-0.049372376966068034,0.08213552361396304,0.3699999999999999,0
2025-07-01,17.9,CVX,Energy,153.72,Put,2025-07-31,30,161.5,8.72,7.63,9.81,212,-0.049372376966068034,0.08213552361396304,2.1800000000000006,1
2025-07-01,17.9,JPM,Financials,209.91,Call,2025-07-31,30,199.5,12.48,10.92,14.04,176,0.0508646310959968,0.08213552361396304,3.119999999999999,1
2025-07-01,17.9,JPM,Financials,209.91,Put,2025-07-31,30,199.5,1.42,1.24,1.59,81,0.0508646310959968,0.08213552361396304,0.3500000000000001,0
2025-07-01,17.9,JPM,Financials,209.91,Call,2025-07-31,30,220.5,1.87,1.64,2.1,47,-0.04921882746098569,0.08213552361396304,0.4600000000000002,0
2025-07-01,17.9,JPM,Financials,209.91,Put,2025-07-31,30,220.5,11.74,10.27,13.2,68,-0.04921882746098569,0.08213552361396304,2.9299999999999997,1
2025-07-01,17.9,BAC,Financials,45.35,Call,2025-07-31,30,43.1,2.63,2.3,2.96,0,0.05088717945144356,0.08213552361396304,0.6600000000000001,1
2025-07-01,17.9,BAC,Financials,45.35,Put,2025-07-31,30,43.1,0.24,0.21,0.27,73,0.05088717945144356,0.08213552361396304,0.060000000000000026,0
2025-07-01,17.9,BAC,Financials,45.35,Call,2025-07-31,30,47.6,0.34,0.29,0.38,38,-0.048422584676228654,0.08213552361396304,0.09000000000000002,0
2025-07-01,17.9,BAC,Financials,45.35,Put,2025-07-31,30,47.6,2.43,2.13,2.73,222,-0.048422584676228654,0.08213552361396304,0.6000000000000001,1
2025-07-01,17.9,JNJ,Health Care,165.89,Call,2025-07-31,30,157.5,9.52,8.33,10.71,50,0.0518994598384958,0.08213552361396304,2.380000000000001,1
2025-07-01,17.9,JNJ,Health Care,165.89,Put,2025-07-31,30,157.5,0.61,0.53,0.69,108,0.0518994598384958,0.08213552361396304,0.15999999999999992,0
2025-07-01,17.9,JNJ,Health Care,165.89,Call,2025-07-31,30,174.0,0.95,0.83,1.07,265,-0.04773038111034541,0.08213552361396304,0.2400000000000001,0
2025-07-01,17.9,JNJ,Health Care,165.89,Put,2025-07-31,30,174.0,8.49,7.43,9.55,0,-0.04773038111034541,0.08213552361396304,2.120000000000001,1
2025-07-01,17.9,PFE,Health Care,32.15,Call,2025-07-31,30,30.5,2.03,1.77,2.28,71,0.05268576707026245,0.08213552361396304,0.5099999999999998,1
2025-07-01,17.9,PFE,Health Care,32.15,Put,2025-07-31,30,30.5,0.28,0.24,0.31,47,0.05268576707026245,0.08213552361396304,0.07,0
2025-07-01,17.9,PFE,Health Care,32.15,Call,2025-07-31,30,33.800000000000004,0.36,0.32,0.41,79,-0.05004835180534491,0.08213552361396304,0.08999999999999997,0
2025-07-01,17.9,PFE,Health Care,32.15,Put,2025-07-31,30,33.800000000000004,1.9,1.67,2.14,128,-0.05004835180534491,0.08213552361396304,0.4700000000000002,1
2025-07-01,17.9,AMZN,Consumer Discretionary,182.55,Call,2025-07-31,30,173.5,12.35,10.81,13.89,27,0.05084650871473212,0.08213552361396304,3.08,1
2025-07-01,17.9,AMZN,Consumer Discretionary,182.55,Put,2025-07-31,30,173.5,2.73,2.39,3.07,704,0.05084650871473212,0.08213552361396304,0.6799999999999997,0
2025-07-01,17.9,AMZN,Consumer Discretionary,182.55,Call,2025-07-31,30,191.5,3.39,2.97,3.81,0,-0.0478637005190547,0.08213552361396304,0.8399999999999999,0
2025-07-01,17.9,AMZN,Consumer Discretionary,182.55,Put,2025-07-31,30,191.5,11.71,10.25,13.18,533,-0.0478637005190547,0.08213552361396304,2.9299999999999997,1
2025-07-01,17.9,TSLA,Consumer Discretionary,250.27,Call,2025-07-31,30,238.0,14.52,12.7,16.33,232,0.050269661410335904,0.08213552361396304,3.629999999999999,1
2025-07-01,17.9,TSLA,Consumer Discretionary,250.27,Put,2025-07-31,30,238.0,1.47,1.28,1.65,276,0.050269661410335904,0.08213552361396304,0.3699999999999999,0
2025-07-01,17.9,TSLA,Consumer Discretionary,250.27,Call,2025-07-31,30,263.0,1.91,1.68,2.15,21,-0.04961369709595392,0.08213552361396304,0.47,0
2025-07-01,17.9,TSLA,Consumer Discretionary,250.27,Put,2025-07-31,30,263.0,13.78,12.06,15.5,0,-0.04961369709595392,0.08213552361396304,3.4399999999999995,1
2025-07-01,17.9,GOOGL,Communication Services,175.84,Call,2025-07-31,30,167.0,11.3,9.89,12.71,191,0.05158067823855623,0.08213552361396304,2.8200000000000003,1
2025-07-01,17.9,GOOGL,Communication Services,175.84,Put,2025-07-31,30,167.0,1.91,1.67,2.15,568,0.05158067823855623,0.08213552361396304,0.48,0
2025-07-01,17.9,GOOGL,Communication Services,175.84,Call,2025-07-31,30,184.5,2.49,2.18,2.8,512,-0.04807497282527062,0.08213552361396304,0.6199999999999997,0
2025-07-01,17.9,GOOGL,Communication Services,175.84,Put,2025-07-31,30,184.5,10.54,9.22,11.86,83,-0.04807497282527062,0.08213552361396304,2.639999999999999,1
2025-07-01,17.9,META,Communication Services,537.22,Call,2025-07-31,30,510.5,31.1,27.21,34.98,239,0.0510170564332461,0.08213552361396304,7.769999999999996,1
2025-07-01,17.9,META,Communication Services,537.22,Put,2025-07-31,30,510.5,2.7,2.36,3.04,409,0.0510170564332461,0.08213552361396304,0.6800000000000002,0
2025-07-01,17.9,META,Communication Services,537.22,Call,2025-07-31,30,564.0,3.78,3.3,4.25,0,-0.048646557460092464,0.08213552361396304,0.9500000000000002,0
2025-07-01,17.9,META,Communication Services,537.22,Put,2025-07-31,30,564.0,28.7,25.12,32.29,156,-0.048646557460092464,0.08213552361396304,7.169999999999998,1
2025-07-04,18.14,AAPL,Information Technology,213.57,Call,2025-08-03,30,203.0,14.54,12.72,16.36,249,0.05075866874210415,0.08213552361396304,3.639999999999999,1
2025-07-04,18.14,AAPL,Information Technology,213.57,Put,2025-08-03,30,203.0,3.3,2.89,3.72,336,0.05075866874210415,0.08213552361396304,0.8300000000000001,0
2025-07-04,18.14,AAPL,Information Technology,213.57,Call,2025-08-03,30,224.0,4.1,3.58,4.61,238,-0.04768140407114834,0.08213552361396304,1.0300000000000002,0
2025-07-04,18.14,AAPL,Information Technology,213.57,Put,2025-08-03,30,224.0,13.79,12.07,15.52,162,-0.04768140407114834,0.08213552361396304,3.4499999999999993,1
2025-07-04,18.14,MSFT,Information Technology,436.8,Call,2025-08-03,30,415.0,27.41,23.99,30.84,470,0.051196904199997006,0.08213552361396304,6.850000000000001,1
2025-07-04,18.14,MSFT,Information Technology,436.8,Put,2025-08-03,30,415.0,4.25,3.72,4.78,352,0.051196904199997006,0.08213552361396304,1.06,0
2025-07-04,18.14,MSFT,Information Technology,436.8,Call,2025-08-03,30,458.5,5.51,4.82,6.2,154,-0.048484867265824176,0.08213552361396304,1.38,0
2025-07-04,18.14,MSFT,Information Technology,436.8,Put,2025-08-03,30,458.5,25.71,22.49,28.92,390,-0.048484867265824176,0.08213552361396304,6.430000000000003,1
2025-07-04,18.14,NVDA,Information Technology,116.33,Call,2025-08-03,30,110.5,8.39,7.35,9.44,275,0.0514154588708676,0.08213552361396304,2.09,1
2025-07-04,18.14,NVDA,Information Technology,116.33,Put,2025-08-03,30,110.5,2.2,1.93,2.48,535,0.0514154588708676,0.08213552361396304,0.55,0
2025-07-04,18.14,NVDA,Information Technology,116.33,Call,2025-08-03,30,122.0,2.7,2.37,3.04,389,-0.04759006490458153,0.08213552361396304,0.6699999999999999,0
2025-07-04,18.14,NVDA,Information Technology,116.33,Put,2025-08-03,30,122.0,7.97,6.98,8.97,236,-0.04759006490458153,0.08213552361396304,1.9900000000000002,1
2025-07-04,18.14,XOM,Energy,107.27,Call,2025-08-03,30,102.0,6.81,5.96,7.66,74,0.05037620732506665,0.08213552361396304,1.7000000000000002,1
2025-07-04,18.14,XOM,Energy,107.27,Put,2025-08-03,30,102.0,1.21,1.06,1.36,105,0.05037620732506665,0.08213552361396304,0.30000000000000004,0
2025-07-04,18.14,XOM,Energy,107.27,Call,2025-08-03,30,112.5,1.54,1.35,1.73,65,-0.047604201035136975,0.08213552361396304,0.3799999999999999,0
2025-07-04,18.14,XOM,Energy,107.27,Put,2025-08-03,30,112.5,6.4,5.6,7.2,87,-0.047604201035136975,0.08213552361396304,1.6000000000000005,1
2025-07-04,18.14,CVX,Energy,153.25,Call,2025-08-03,30,145.5,8.9,7.79,10.01,129,0.05189448820477361,0.08213552361396304,2.2199999999999998,1
2025-07-04,18.14,CVX,Energy,153.25,Put,2025-08-03,30,145.5,0.67,0.59,0.75,112,0.05189448820477361,0.08213552361396304,0.16000000000000003,0
2025-07-04,18.14,CVX,Energy,153.25,Call,2025-08-03,30,161.0,0.96,0.84,1.08,43,-0.049333790168142225,0.08213552361396304,0.2400000000000001,0
2025-07-04,18.14,CVX,Energy,153.25,Put,2025-08-03,30,161.0,8.18,7.16,9.2,29,-0.049333790168142225,0.08213552361396304,2.039999999999999,1
2025-07-04,18.14,JPM,Financials,215.74,Call,2025-08-03,30,205.0,12.92,11.31,14.54,162,0.05106399980887486,0.08213552361396304,3.2299999999999986,1
2025-07-04,18.14,JPM,Financials,215.74,Put,2025-08-03,30,205.0,1.51,1.32,1.7,52,0.05106399980887486,0.08213552361396304,0.3799999999999999,0
2025-07-04,18.14,JPM,Financials,215.74,Call,2025-08-03,30,226.5,2.02,1.77,2.27,0,-0.04867096597580563,0.08213552361396304,0.5,0
2025-07-04,18.14,JPM,Financials,215.74,Put,2025-08-03,30,226.5,12.04,10.53,13.54,81,-0.04867096597580563,0.08213552361396304,3.01,1
2025-07-04,18.14,BAC,Financials,44.96,Call,2025-08-03,30,42.7,2.53,2.22,2.85,135,0.051574285350856654,0.08213552361396304,0.6299999999999999,1
2025-07-04,18.14,BAC,Financials,44.96,Put,2025-08-03,30,42.7,0.13,0.12,0.15,43,0.051574285350856654,0.08213552361396304,0.03,0
2025-07-04,18.14,BAC,Financials,44.96,Call,2025-08-03,30,47.2,0.2,0.18,0.23,123,-0.04862068700607409,0.08213552361396304,0.05000000000000002,0
2025-07-04,18.14,BAC,Financials,44.96,Put,2025-08-03,30,47.2,2.29,2.0,2.58,69,-0.04862068700607409,0.08213552361396304,0.5800000000000001,1
2025-07-04,18.14,JNJ,Health Care,166.69,Call,2025-08-03,30,158.5,9.21,8.06,10.36,191,0.050381206637661324,0.08213552361396304,2.299999999999999,1
2025-07-04,18.14,JNJ,Health Care,166.69,Put,2025-08-03,30,158.5,0.5,0.43,0.56,55,0.050381206637661324,0.08213552361396304,0.13000000000000006,0
2025-07-04,18.14,JNJ,Health Care,166.69,Call,2025-08-03,30,175.0,0.73,0.64,0.82,0,-0.0486501739685175,0.08213552361396304,0.17999999999999994,0
2025-07-04,18.14,JNJ,Health Care,166.69,Put,2025-08-03,30,175.0,8.47,7.41,9.53,82,-0.0486501739685175,0.08213552361396304,2.119999999999999,1
2025-07-04,18.14,PFE,Health Care,32.12,Call,2025-08-03,30,30.5,1.91,1.67,2.15,129,0.051752205465194864,0.08213552361396304,0.48,1
2025-07-04,18.14,PFE,Health Care,32.12,Put,2025-08-03,30,30.5,0.19,0.16,0.21,143,0.051752205465194864,0.08213552361396304,0.04999999999999999,0
2025-07-04,18.14,PFE,Health Care,32.12,Call,2025-08-03,30,33.7,0.27,0.23,0.3,96,-0.04801894827975528,0.08213552361396304,0.06999999999999998,0
2025-07-04,18.14,PFE,Health Care,32.12,Put,2025-08-03,30,33.7,1.74,1.52,1.95,156,-0.04801894827975528,0.08213552361396304,0.42999999999999994,1
2025-07-04,18.14,AMZN,Consumer Discretionary,179.66,Call,2025-08-03,30,170.5,11.17,9.77,12.57,293,0.05233087907748908,0.08213552361396304,2.8000000000000007,1
2025-07-04,18.14,AMZN,Consumer Discretionary,179.66,Put,2025-08-03,30,170.5,1.45,1.27,1.63,374,0.05233087907748908,0.08213552361396304,0.3599999999999999,0
2025-07-04,18.14,AMZN,Consumer Discretionary,179.66,Call,2025-08-03,30,188.5,1.99,1.74,2.24,735,-0.04803183108700493,0.08213552361396304,0.5000000000000002,0
2025-07-04,18.14,AMZN,Consumer Discretionary,179.66,Put,2025-08-03,30,188.5,10.21,8.94,11.49,193,-0.04803183108700493,0.08213552361396304,2.5500000000000007,1
2025-07-04,18.14,TSLA,Consumer Discretionary,252.41,Call,2025-08-03,30,240.0,16.73,14.64,18.82,454,0.05041582619157611,0.08213552361396304,4.18,1
2025-07-04,18.14,TSLA,Consumer Discretionary,252.41,Put,2025-08-03,30,240.0,3.53,3.09,3.97,717,0.05041582619157611,0.08213552361396304,0.8800000000000003,0
2025-07-04,18.14,TSLA,Consumer Discretionary,252.41,Call,2025-08-03,30,265.0,4.32,3.78,4.86,112,-0.0486750764526547,0.08213552361396304,1.0800000000000005,0
2025-07-04,18.14,TSLA,Consumer Discretionary,252.41,Put,2025-08-03,30,265.0,16.04,14.04,18.05,0,-0.0486750764526547,0.08213552361396304,4.010000000000002,1
2025-07-04,18.14,GOOGL,Communication Services,178.3,Call,2025-08-03,30,169.5,11.29,9.88,12.7,0,0.05061459804858988,0.08213552361396304,2.8199999999999985,1
2025-07-04,18.14,GOOGL,Communication Services,178.3,Put,2025-08-03,30,169.5,1.94,1.69,2.18,394,0.05061459804858988,0.08213552361396304,0.4900000000000002,0
2025-07-04,18.14,GOOGL,Communication Services,178.3,Call,2025-08-03,30,187.0,2.49,2.18,2.8,428,-0.047641091985491886,0.08213552361396304,0.6199999999999997,0
2025-07-04,18.14,GOOGL,Communication Services,178.3,Put,2025-08-03,30,187.0,10.58,9.26,11.9,420,-0.047641091985491886,0.08213552361396304,2.6400000000000006,1
2025-07-04,18.14,META,Communication Services,541.81,Call,2025-08-03,30,514.5,36.62,32.05,41.2,515,0.0517198312017633,0.08213552361396304,9.150000000000006,1
2025-07-04,18.14,META,Communication Services,541.81,Put,2025-08-03,30,514.5,7.63,6.67,8.58,0,0.0517198312017633,0.08213552361396304,1.9100000000000001,0
2025-07-04,18.14,META,Communication Services,541.81,Call,2025-08-03,30,569.0,9.49,8.31,10.68,257,-0.048965047650463375,0.08213552361396304,2.369999999999999,0
2025-07-04,18.14,META,Communication Services,541.81,Put,2025-08-03,30,569.0,34.82,30.46,39.17,0,-0.048965047650463375,0.08213552361396304,8.71,1
2025-07-09,19.32,AAPL,Information Technology,207.11,Call,2025-08-08,30,197.0,12.79,11.19,14.39,331,0.05004632435007117,0.08213552361396304,3.200000000000001,1
2025-07-09,19.32,AAPL,Information Technology,207.11,Put,2025-08-08,30,197.0,2.03,1.78,2.29,583,0.05004632435007117,0.08213552361396304,0.51,0
2025-07-09,19.32,AAPL,Information Technology,207.11,Call,2025-08-08,30,217.5,2.54,2.22,2.86,217,-0.04894879744067921,0.08213552361396304,0.6399999999999997,0
2025-07-09,19.32,AAPL,Information Technology,207.11,Put,2025-08-08,30,217.5,12.22,10.69,13.75,6,-0.04894879744067921,0.08213552361396304,3.0600000000000005,1
2025-07-09,19.32,MSFT,Information Technology,428.02,Call,2025-08-08,30,406.5,30.5,26.69,34.31,0,0.051585994474129725,0.08213552361396304,7.620000000000001,1
2025-07-09,19.32,MSFT,Information Technology,428.02,Put,2025-08-08,30,406.5,7.65,6.69,8.6,346,0.051585994474129725,0.08213552361396304,1.9099999999999993,0
2025-07-09,19.32,MSFT,Information Technology,428.02,Call,2025-08-08,30,449.5,9.28,8.12,10.44,590,-0.04896593044968,0.08213552361396304,2.3200000000000003,0
2025-07-09,19.32,MSFT,Information Technology,428.02,Put,2025-08-08,30,449.5,29.29,25.63,32.95,515,-0.04896593044968,0.08213552361396304,7.320000000000004,1
2025-07-09,19.32,NVDA,Information Technology,113.62,Call,2025-08-08,30,108.0,7.84,6.86,8.82,485,0.0507283200047612,0.08213552361396304,1.96,1
2025-07-09,19.32,NVDA,Information Technology,113.62,Put,2025-08-08,30,108.0,1.86,1.63,2.1,75,0.0507283200047612,0.08213552361396304,0.4700000000000002,0
2025-07-09,19.32,NVDA,Information Technology,113.62,Call,2025-08-08,30,119.5,2.2,1.92,2.47,577,-0.050456824242584485,0.08213552361396304,0.5500000000000003,0
2025-07-09,19.32,NVDA,Information Technology,113.62,Put,2025-08-08,30,119.5,7.68,6.72,8.64,193,-0.050456824242584485,0.08213552361396304,1.9200000000000008,1
2025-07-09,19.32,XOM,Energy,107.9,Call,2025-08-08,30,102.5,6.26,5.48,7.04,184,0.05134207368562615,0.08213552361396304,1.5599999999999996,1
2025-07-09,19.32,XOM,Energy,107.9,Put,2025-08-08,30,102.5,0.52,0.46,0.59,16,0.05134207368562615,0.08213552361396304,0.12999999999999995,0
2025-07-09,19.32,XOM,Energy,107.9,Call,2025-08-08,30,113.5,0.7,0.61,0.79,84,-0.0505979646573683,0.08213552361396304,0.18000000000000005,0
2025-07-09,19.32,XOM,Energy,107.9,Put,2025-08-08,30,113.5,5.93,5.19,6.67,217,-0.0505979646573683,0.08213552361396304,1.4799999999999995,1
2025-07-09,19.32,CVX,Energy,150.29,Call,2025-08-08,30,143.0,9.04,7.91,10.17,178,0.049722130686095566,0.08213552361396304,2.26,1
2025-07-09,19.32,CVX,Energy,150.29,Put,2025-08-08,30,143.0,1.28,1.12,1.44,103,0.049722130686095566,0.08213552361396304,0.31999999999999984,0
2025-07-09,19.32,CVX,Energy,150.29,Call,2025-08-08,30,158.0,1.58,1.38,1.77,83,-0.0500282720809639,0.08213552361396304,0.3900000000000001,0
2025-07-09,19.32,CVX,Energy,150.29,Put,2025-08-08,30,158.0,8.77,7.67,9.86,104,-0.0500282720809639,0.08213552361396304,2.1899999999999995,1
2025-07-09,19.32,JPM,Financials,205.82,Call,2025-08-08,30,195.5,11.93,10.43,13.42,7,0.051441620982525096,0.08213552361396304,2.99,1
2025-07-09,19.32,JPM,Financials,205.82,Put,2025-08-08,30,195.5,0.96,0.84,1.08,132,0.051441620982525096,0.08213552361396304,0.2400000000000001,0
2025-07-09,19.32,JPM,Financials,205.82,Call,2025-08-08,30,216.0,1.39,1.22,1.57,66,-0.048276407276219374,0.08213552361396304,0.3500000000000001,0
2025-07-09,19.32,JPM,Financials,205.82,Put,2025-08-08,30,216.0,10.87,9.51,12.22,100,-0.048276407276219374,0.08213552361396304,2.710000000000001,1
2025-07-09,19.32,BAC,Financials,45.7,Call,2025-08-08,30,43.400000000000006,2.78,2.43,3.12,71,0.051638856793799676,0.08213552361396304,0.69,1
2025-07-09,19.32,BAC,Financials,45.7,Put,2025-08-08,30,43.400000000000006,0.33,0.29,0.38,43,0.051638856793799676,0.08213552361396304,0.09000000000000002,0
2025-07-09,19.32,BAC,Financials,45.7,Call,2025-08-08,30,48.0,0.45,0.39,0.5,0,-0.04910271300773185,0.08213552361396304,0.10999999999999999,0
2025-07-09,19.32,BAC,Financials,45.7,Put,2025-08-08,30,48.0,2.59,2.27,2.91,109,-0.04910271300773185,0.08213552361396304,0.6400000000000001,1
2025-07-09,19.32,JNJ,Health Care,166.74,Call,2025-08-08,30,158.5,10.21,8.93,11.49,52,0.050681119665132175,0.08213552361396304,2.5600000000000005,1
2025-07-09,19.32,JNJ,Health Care,166.74,Put,2025-08-08,30,158.5,1.45,1.27,1.63,96,0.050681119665132175,0.08213552361396304,0.3599999999999999,0
2025-07-09,19.32,JNJ,Health Care,166.74,Call,2025-08-08,30,175.0,1.89,1.65,2.13,151,-0.04835026094104661,0.08213552361396304,0.48,0
2025-07-09,19.32,JNJ,Health Care,166.74,Put,2025-08-08,30,175.0,9.58,8.38,10.77,65,-0.04835026094104661,0.08213552361396304,2.389999999999999,1
2025-07-09,19.32,PFE,Health Care,31.04,Call,2025-08-08,30,29.5,1.81,1.58,2.04,283,0.050886431969243924,0.08213552361396304,0.45999999999999996,1
2025-07-09,19.32,PFE,Health Care,31.04,Put,2025-08-08,30,29.5,0.17,0.15,0.19,58,0.050886431969243924,0.08213552361396304,0.04000000000000001,0
2025-07-09,19.32,PFE,Health Care,31.04,Call,2025-08-08,30,32.6,0.23,0.21,0.26,168,-0.04903559305764402,0.08213552361396304,0.05000000000000002,0
2025-07-09,19.32,PFE,Health Care,31.04,Put,2025-08-08,30,32.6,1.69,1.48,1.9,107,-0.04903559305764402,0.08213552361396304,0.41999999999999993,1
2025-07-09,19.32,AMZN,Consumer Discretionary,184.14,Call,2025-08-08,30,175.0,12.15,10.63,13.67,254,0.05091036393618562,0.08213552361396304,3.039999999999999,1
2025-07-09,19.32,AMZN,Consumer Discretionary,184.14,Put,2025-08-08,30,175.0,2.43,2.13,2.74,0,0.05091036393618562,0.08213552361396304,0.6100000000000003,0
2025-07-09,19.32,AMZN,Consumer Discretionary,184.14,Call,2025-08-08,30,193.5,2.97,2.6,3.35,128,-0.049581174610136725,0.08213552361396304,0.75,0
2025-07-09,19.32,AMZN,Consumer Discretionary,184.14,Put,2025-08-08,30,193.5,11.7,10.24,13.16,150,-0.049581174610136725,0.08213552361396304,2.92,1
2025-07-09,19.32,TSLA,Consumer Discretionary,248.37,Call,2025-08-08,30,236.0,15.01,13.14,16.89,323,0.051087764793214197,0.08213552361396304,3.75,1
2025-07-09,19.32,TSLA,Consumer Discretionary,248.37,Put,2025-08-08,30,236.0,1.87,1.64,2.1,491,0.051087764793214197,0.08213552361396304,0.4600000000000002,0
2025-07-09,19.32,TSLA,Consumer Discretionary,248.37,Call,2025-08-08,30,261.0,2.43,2.12,2.73,105,-0.04960083750386925,0.08213552361396304,0.6099999999999999,0
2025-07-09,19.32,TSLA,Consumer Discretionary,248.37,Put,2025-08-08,30,261.0,14.2,12.42,15.97,754,-0.04960083750386925,0.08213552361396304,3.5500000000000007,1
2025-07-09,19.32,GOOGL,Communication Services,174.44,Call,2025-08-08,30,165.5,11.76,10.29,13.23,72,0.05260964815744819,0.08213552361396304,2.9400000000000013,1
2025-07-09,19.32,GOOGL,Communication Services,174.44,Put,2025-08-08,30,165.5,2.28,1.99,2.56,104,0.05260964815744819,0.08213552361396304,0.5700000000000001,0
2025-07-09,19.32,GOOGL,Communication Services,174.44,Call,2025-08-08,30,183.0,2.96,2.59,3.33,465,-0.04790530986685522,0.08213552361396304,0.7400000000000002,0
2025-07-09,19.32,GOOGL,Communication Services,174.44,Put,2025-08-08,30,183.0,10.92,9.55,12.28,0,-0.04790530986685522,0.08213552361396304,2.7299999999999986,1
2025-07-09,19.32,META,Communication Services,530.54,Call,2025-08-08,30,504.0,31.25,27.35,35.16,188,0.05131908770569356,0.08213552361396304,7.809999999999995,1
2025-07-09,19.32,META,Communication Services,530.54,Put,2025-08-08,30,504.0,3.06,2.68,3.44,203,0.05131908770569356,0.08213552361396304,0.7599999999999998,0
2025-07-09,19.32,META,Communication Services,530.54,Call,2025-08-08,30,557.0,4.23,3.7,4.76,114,-0.048669884150221755,0.08213552361396304,1.0599999999999996,0
